Serial_Number,Frame_Number,Total_Potholes,Total_Obstacles,Pothole_Details,Obstacle_Details
1,1,4,0,"Pothole:conf=0.8021,bbox=(964,522,1049,562),diameter=62.5px | Pothole:conf=0.7045,bbox=(233,616,721,695),diameter=283.5px | Pothole:conf=0.6002,bbox=(471,764,733,888),diameter=193.0px | Pothole:conf=0.3759,bbox=(838,923,1730,1214),diameter=591.5px",None
2,2,7,0,"Pothole:conf=0.8345,bbox=(967,533,1061,571),diameter=66.0px | Pothole:conf=0.7282,bbox=(195,632,713,731),diameter=308.5px | Pothole:conf=0.571,bbox=(410,834,761,997),diameter=257.0px | Pothole:conf=0.5663,bbox=(627,478,743,515),diameter=76.5px | Pothole:conf=0.5621,bbox=(1187,622,1306,652),diameter=74.5px | Pothole:conf=0.4158,bbox=(998,1136,1914,1227),diameter=503.5px | Pothole:conf=0.3047,bbox=(0,1123,787,1226),diameter=445.0px",None
3,3,6,0,"Pothole:conf=0.883,bbox=(355,902,688,1061),diameter=246.0px | Pothole:conf=0.8463,bbox=(969,545,1072,586),diameter=72.0px | Pothole:conf=0.7609,bbox=(1206,638,1330,672),diameter=79.0px | Pothole:conf=0.6404,bbox=(163,666,729,760),diameter=330.0px | Pothole:conf=0.3645,bbox=(621,482,733,524),diameter=77.0px | Pothole:conf=0.3456,bbox=(1155,1145,1913,1228),diameter=420.5px",None
4,4,7,0,"Pothole:conf=0.7773,bbox=(276,871,388,908),diameter=74.5px | Pothole:conf=0.7322,bbox=(972,555,1075,603),diameter=75.5px | Pothole:conf=0.6799,bbox=(1230,660,1360,696),diameter=83.0px | Pothole:conf=0.6386,bbox=(261,972,697,1162),diameter=313.0px | Pothole:conf=0.6318,bbox=(65,691,700,801),diameter=372.5px | Pothole:conf=0.4672,bbox=(150,833,234,891),diameter=71.0px | Pothole:conf=0.4322,bbox=(622,490,731,552),diameter=85.5px",None
5,5,7,0,"Pothole:conf=0.8023,bbox=(11,718,689,841),diameter=400.5px | Pothole:conf=0.7318,bbox=(1200,611,1386,644),diameter=109.5px | Pothole:conf=0.5773,bbox=(233,605,436,665),diameter=131.5px | Pothole:conf=0.5228,bbox=(449,524,678,588),diameter=146.5px | Pothole:conf=0.5057,bbox=(0,1041,605,1227),diameter=395.5px | Pothole:conf=0.4681,bbox=(214,920,348,965),diameter=89.5px | Pothole:conf=0.3479,bbox=(1160,1150,1912,1228),diameter=415.0px",None
6,6,9,0,"Pothole:conf=0.8801,bbox=(974,581,1093,629),diameter=83.5px | Pothole:conf=0.6701,bbox=(1274,712,1434,776),diameter=112.0px | Pothole:conf=0.5744,bbox=(590,502,743,546),diameter=98.5px | Pothole:conf=0.5308,bbox=(12,762,685,917),diameter=414.0px | Pothole:conf=0.4752,bbox=(97,1020,249,1068),diameter=100.0px | Pothole:conf=0.4685,bbox=(1109,425,1226,456),diameter=74.0px | Pothole:conf=0.4316,bbox=(1005,1141,1914,1227),diameter=497.5px | Pothole:conf=0.407,bbox=(305,1028,353,1057),diameter=38.5px | Pothole:conf=0.3159,bbox=(13,955,91,995),diameter=59.0px",None
7,7,6,0,"Pothole:conf=0.8369,bbox=(1227,646,1446,693),diameter=133.0px | Pothole:conf=0.5951,bbox=(8,788,662,968),diameter=417.0px | Pothole:conf=0.5907,bbox=(118,617,385,735),diameter=192.5px | Pothole:conf=0.5554,bbox=(408,536,652,632),diameter=170.0px | Pothole:conf=0.5018,bbox=(1217,958,1382,1033),diameter=120.0px | Pothole:conf=0.367,bbox=(1115,427,1229,455),diameter=71.0px",None
8,8,7,0,"Pothole:conf=0.9434,bbox=(1240,547,1605,619),diameter=218.5px | Pothole:conf=0.8027,bbox=(3,833,649,1037),diameter=425.0px | Pothole:conf=0.5885,bbox=(991,609,1110,665),diameter=87.5px | Pothole:conf=0.5128,bbox=(66,628,382,797),diameter=242.5px | Pothole:conf=0.5099,bbox=(1119,429,1243,458),diameter=76.5px | Pothole:conf=0.3828,bbox=(401,547,630,602),diameter=142.0px | Pothole:conf=0.3614,bbox=(1313,768,1511,845),diameter=137.5px",None
9,9,6,0,"Pothole:conf=0.9328,bbox=(1275,683,1520,732),diameter=147.0px | Pothole:conf=0.555,bbox=(5,647,334,782),diameter=232.0px | Pothole:conf=0.5536,bbox=(1123,429,1249,458),diameter=77.5px | Pothole:conf=0.5454,bbox=(512,514,741,573),diameter=144.0px | Pothole:conf=0.3693,bbox=(787,476,912,504),diameter=76.5px | Pothole:conf=0.3256,bbox=(1014,1136,1914,1227),diameter=495.5px",None
10,10,7,0,"Pothole:conf=0.7996,bbox=(1423,846,1651,938),diameter=160.0px | Pothole:conf=0.7191,bbox=(1008,643,1146,704),diameter=99.5px | Pothole:conf=0.6231,bbox=(466,477,538,509),diameter=52.0px | Pothole:conf=0.5202,bbox=(1008,1129,1914,1227),diameter=502.0px | Pothole:conf=0.4878,bbox=(1135,431,1262,462),diameter=79.0px | Pothole:conf=0.3992,bbox=(1,664,305,828),diameter=234.0px | Pothole:conf=0.3555,bbox=(1229,525,1679,648),diameter=286.5px",None
