Serial_Number,Frame_Number,Class,Confidence,BBox,Diameter,Motion_Status
1,1,pothole,0.8,"(964,522,85,40)",62.5,N/A
2,1,pothole,0.7,"(233,616,488,79)",283.5,N/A
3,1,pothole,0.6,"(471,764,262,124)",193.0,N/A
4,1,pothole,0.38,"(838,923,892,291)",591.5,N/A
5,2,pothole,0.83,"(967,533,94,38)",66.0,N/A
6,2,pothole,0.73,"(195,632,518,99)",308.5,N/A
7,2,pothole,0.57,"(410,834,351,163)",257.0,N/A
8,2,pothole,0.57,"(627,478,116,37)",76.5,N/A
9,2,pothole,0.56,"(1187,622,119,30)",74.5,N/A
10,2,pothole,0.42,"(998,1136,916,91)",503.5,N/A
11,2,pothole,0.3,"(0,1123,787,103)",445.0,N/A
12,3,pothole,0.88,"(355,902,333,159)",246.0,N/A
13,3,pothole,0.85,"(969,545,103,41)",72.0,N/A
14,3,pothole,0.76,"(1206,638,124,34)",79.0,N/A
15,3,pothole,0.64,"(163,666,566,94)",330.0,N/A
16,3,pothole,0.36,"(621,482,112,42)",77.0,N/A
17,3,pothole,0.35,"(1155,1145,758,83)",420.5,N/A
18,4,pothole,0.78,"(276,871,112,37)",74.5,N/A
19,4,pothole,0.73,"(972,555,103,48)",75.5,N/A
20,4,pothole,0.68,"(1230,660,130,36)",83.0,N/A
21,4,pothole,0.64,"(261,972,436,190)",313.0,N/A
22,4,pothole,0.63,"(65,691,635,110)",372.5,N/A
23,4,pothole,0.47,"(150,833,84,58)",71.0,N/A
24,4,pothole,0.43,"(622,490,109,62)",85.5,N/A
25,5,pothole,0.8,"(11,718,678,123)",400.5,N/A
26,5,pothole,0.73,"(1200,611,186,33)",109.5,N/A
27,5,pothole,0.58,"(233,605,203,60)",131.5,N/A
28,5,pothole,0.52,"(449,524,229,64)",146.5,N/A
29,5,pothole,0.51,"(0,1041,605,186)",395.5,N/A
30,5,pothole,0.47,"(214,920,134,45)",89.5,N/A
31,5,pothole,0.35,"(1160,1150,752,78)",415.0,N/A
32,6,pothole,0.88,"(974,581,119,48)",83.5,N/A
33,6,pothole,0.67,"(1274,712,160,64)",112.0,N/A
34,6,pothole,0.57,"(590,502,153,44)",98.5,N/A
35,6,pothole,0.53,"(12,762,673,155)",414.0,N/A
36,6,pothole,0.48,"(97,1020,152,48)",100.0,N/A
37,6,pothole,0.47,"(1109,425,117,31)",74.0,N/A
38,6,pothole,0.43,"(1005,1141,909,86)",497.5,N/A
39,6,pothole,0.41,"(305,1028,48,29)",38.5,N/A
40,6,pothole,0.32,"(13,955,78,40)",59.0,N/A
41,7,pothole,0.84,"(1227,646,219,47)",133.0,N/A
42,7,pothole,0.6,"(8,788,654,180)",417.0,N/A
43,7,pothole,0.59,"(118,617,267,118)",192.5,N/A
44,7,pothole,0.56,"(408,536,244,96)",170.0,N/A
45,7,pothole,0.5,"(1217,958,165,75)",120.0,N/A
46,7,pothole,0.37,"(1115,427,114,28)",71.0,N/A
47,8,pothole,0.94,"(1240,547,365,72)",218.5,N/A
48,8,pothole,0.8,"(3,833,646,204)",425.0,N/A
49,8,pothole,0.59,"(991,609,119,56)",87.5,N/A
50,8,pothole,0.51,"(66,628,316,169)",242.5,N/A
51,8,pothole,0.51,"(1119,429,124,29)",76.5,N/A
52,8,pothole,0.38,"(401,547,229,55)",142.0,N/A
53,8,pothole,0.36,"(1313,768,198,77)",137.5,N/A
54,9,pothole,0.93,"(1275,683,245,49)",147.0,N/A
55,9,pothole,0.55,"(5,647,329,135)",232.0,N/A
56,9,pothole,0.55,"(1123,429,126,29)",77.5,N/A
57,9,pothole,0.55,"(512,514,229,59)",144.0,N/A
58,9,pothole,0.37,"(787,476,125,28)",76.5,N/A
59,9,pothole,0.33,"(1014,1136,900,91)",495.5,N/A
